coach,team,season,predicted_wins,actual_wins,performance_score
S. Van Gundy,ORL,2010,53.545906,52,-1.5459060668945312
S. Van Gundy,ORL,2009,61.009693,59,-2.009693145751953
S. Van Gundy,ORL,2008,61.59918,59,-2.5991783142089844
S. Van Gundy,ORL,2007,46.10637,52,5.8936309814453125
M. Cheeks,DET,2013,28.31563,29,0.6843700408935547
M. Cheeks,PHI,2008,40.353317,41,0.6466827392578125
M. Cheeks,PHI,2007,38.131695,40,1.8683052062988281
M. Cheeks,PHI,2006,36.66422,35,-1.6642189025878906
M. Cheeks,PHI,2005,38.02561,38,-0.02561187744140625
M. Cheeks,POR,2004,22.414114,27,4.585886001586914
M. Cheeks,POR,2003,49.91022,41,-8.910221099853516
M. Cheeks,POR,2002,50.63616,50,-0.6361618041992188
M. Cheeks,POR,2001,45.690685,49,3.309314727783203
L. Frank,DET,2012,29.659159,29,-0.6591587066650391
L. Frank,DET,2011,22.13174,25,2.8682594299316406
L. Frank,NJN,2009,11.593959,12,0.40604114532470703
L. Frank,NJN,2008,33.132366,34,0.8676338195800781
L. Frank,NJN,2007,35.211433,34,-1.2114334106445312
L. Frank,NJN,2006,49.734825,41,-8.734825134277344
L. Frank,NJN,2005,46.652626,49,2.3473739624023438
L. Frank,NJN,2004,42.068363,42,-0.06836318969726562
J. Kuester,DET,2010,27.22752,30,2.772480010986328
J. Kuester,DET,2009,24.854645,27,2.145355224609375
M. Curry,DET,2008,38.28898,39,0.7110214233398438
F. Saunders,DET,2007,58.762367,59,0.23763275146484375
F. Saunders,DET,2006,59.604282,53,-6.604282379150391
F. Saunders,DET,2005,62.970196,64,1.0298042297363281
F. Saunders,MIN,2014,17.48894,16,-1.4889392852783203
F. Saunders,MIN,2004,42.840565,44,1.1594352722167969
F. Saunders,MIN,2003,47.496567,58,10.503433227539062
F. Saunders,MIN,2002,48.48937,51,2.510631561279297
F. Saunders,MIN,2001,48.107086,50,1.892913818359375
F. Saunders,MIN,2000,53.89204,47,-6.892040252685547
F. Saunders,MIN,1997,27.553976,45,17.44602394104004
F. Saunders,MIN,1996,30.605808,40,9.39419174194336
F. Saunders,WAS,2011,28.07399,20,-8.073989868164062
F. Saunders,WAS,2010,21.503263,23,1.4967365264892578
F. Saunders,WAS,2009,36.86106,26,-10.861061096191406
G. Irvine,DET,2000,32.413494,32,-0.4134941101074219
D. Collins,DET,1997,53.61433,37,-16.614330291748047
D. Collins,DET,1996,42.652683,54,11.34731674194336
D. Collins,PHI,2012,32.45236,34,1.5476417541503906
D. Collins,PHI,2011,36.410477,35,-1.4104766845703125
D. Collins,PHI,2010,39.669098,41,1.330902099609375
D. Collins,WAS,2002,37.861477,37,-0.8614768981933594
D. Collins,WAS,2001,37.363323,37,-0.3633232116699219
S. Kerr,GSW,2023,44.13712,46,1.8628807067871094
S. Kerr,GSW,2022,50.247456,44,-6.247455596923828
S. Kerr,GSW,2021,50.375282,53,2.6247177124023438
S. Kerr,GSW,2020,37.715893,39,1.2841072082519531
S. Kerr,GSW,2019,11.579048,15,3.4209518432617188
S. Kerr,GSW,2018,52.54824,57,4.451759338378906
S. Kerr,GSW,2017,53.68092,58,4.319080352783203
S. Kerr,GSW,2016,60.218685,67,6.781314849853516
S. Kerr,GSW,2015,72.18715,73,0.8128509521484375
S. Kerr,GSW,2014,65.02882,67,1.9711837768554688
M. Jackson,GSW,2013,50.852688,51,0.14731216430664062
M. Jackson,GSW,2012,38.88968,47,8.110321044921875
M. Jackson,GSW,2011,22.37166,23,0.6283397674560547
K. Smart,GSW,2010,35.7335,36,0.2664985656738281
K. Smart,SAC,2012,25.1002,28,2.899799346923828
M. Montgomery,GSW,2005,40.345135,34,-6.345134735107422
M. Montgomery,GSW,2004,34.626465,34,-0.62646484375
E. Musselman,GSW,2003,37.031673,37,-0.031673431396484375
E. Musselman,GSW,2002,22.688232,38,15.311767578125
E. Musselman,SAC,2006,34.478855,33,-1.4788551330566406
P. Carlesimo,GSW,1997,19.037882,19,-0.03788185119628906
P. Carlesimo,OKC,2008,30.518553,23,-7.518552780151367
P. Carlesimo,OKC,2007,28.51468,20,-8.514680862426758
P. Carlesimo,POR,1996,48.80403,49,0.1959686279296875
R. Adelman,GSW,1996,28.868038,30,1.1319618225097656
R. Adelman,HOU,2010,44.638794,43,-1.6387939453125
R. Adelman,HOU,2009,44.572525,42,-2.5725250244140625
R. Adelman,HOU,2008,53.334663,53,-0.33466339111328125
R. Adelman,HOU,2007,53.929413,55,1.070587158203125
R. Adelman,MIN,2013,40.22967,40,-0.22967147827148438
R. Adelman,MIN,2012,46.066063,31,-15.066062927246094
R. Adelman,MIN,2011,24.822348,26,1.177652359008789
R. Adelman,SAC,2005,42.32897,44,1.6710281372070312
R. Adelman,SAC,2004,51.810246,50,-1.8102455139160156
R. Adelman,SAC,2003,50.778053,55,4.221946716308594
R. Adelman,SAC,2002,58.23876,59,0.7612380981445312
R. Adelman,SAC,2001,59.389317,61,1.6106834411621094
R. Adelman,SAC,2000,53.19976,55,1.8002395629882812
S. Silas,HOU,2022,22.968159,22,-0.9681587219238281
S. Silas,HOU,2021,17.085648,20,2.9143524169921875
S. Silas,HOU,2020,14.332379,17,2.6676206588745117
M. D'Antoni,HOU,2019,40.290054,44,3.7099456787109375
M. D'Antoni,HOU,2018,51.600925,53,1.3990745544433594
M. D'Antoni,HOU,2017,60.905952,65,4.094047546386719
M. D'Antoni,HOU,2016,40.505417,55,14.494583129882812
M. D'Antoni,LAL,2013,26.441319,27,0.5586814880371094
M. D'Antoni,NYK,2011,49.73006,36,-13.730060577392578
M. D'Antoni,NYK,2010,39.49422,42,2.505779266357422
M. D'Antoni,NYK,2009,27.365376,29,1.6346244812011719
M. D'Antoni,NYK,2008,28.43898,32,3.5610198974609375
M. D'Antoni,PHO,2007,55.62622,55,-0.626220703125
M. D'Antoni,PHO,2006,58.875435,61,2.1245651245117188
M. D'Antoni,PHO,2005,53.79859,54,0.20140838623046875
M. D'Antoni,PHO,2004,59.621914,62,2.3780860900878906
K. McHale,HOU,2015,51.561962,41,-10.561962127685547
K. McHale,HOU,2014,57.55295,56,-1.5529518127441406
K. McHale,HOU,2013,54.45422,54,-0.4542198181152344
K. McHale,HOU,2012,40.01997,45,4.980030059814453
K. McHale,HOU,2011,36.966114,34,-2.966114044189453
J. Van Gundy,HOU,2006,30.696672,52,21.303327560424805
J. Van Gundy,HOU,2005,35.07908,34,-1.0790786743164062
J. Van Gundy,HOU,2004,50.213146,51,0.7868537902832031
J. Van Gundy,HOU,2003,54.756565,45,-9.75656509399414
J. Van Gundy,NYK,2001,29.362137,30,0.6378631591796875
J. Van Gundy,NYK,2000,53.779823,48,-5.779823303222656
J. Van Gundy,NYK,1997,44.13003,43,-1.1300315856933594
J. Van Gundy,NYK,1996,56.93429,57,0.06570816040039062
R. Tomjanovich,HOU,2002,40.460777,43,2.5392227172851562
R. Tomjanovich,HOU,2001,30.993881,28,-2.9938812255859375
R. Tomjanovich,HOU,2000,42.869003,45,2.1309967041015625
R. Tomjanovich,HOU,1997,39.542526,41,1.4574737548828125
R. Tomjanovich,HOU,1996,57.419975,57,-0.41997528076171875
R. Tomjanovich,LAL,2004,34.39711,34,-0.3971099853515625
N. Bjorkgren,IND,2020,35.37841,34,-1.3784103393554688
F. Vogel,IND,2015,31.146637,45,13.853363037109375
F. Vogel,IND,2014,39.119682,38,-1.1196823120117188
F. Vogel,IND,2013,56.433933,56,-0.4339332580566406
F. Vogel,IND,2012,49.06794,49,-0.06793975830078125
F. Vogel,IND,2011,42.885624,42,-0.8856239318847656
F. Vogel,LAL,2021,33.078747,33,-0.07874679565429688
F. Vogel,LAL,2020,38.3406,42,3.6594009399414062
F. Vogel,LAL,2019,51.618504,52,0.3814964294433594
F. Vogel,ORL,2017,25.654953,25,-0.6549530029296875
F. Vogel,ORL,2016,28.955406,29,0.04459381103515625
F. Vogel,PHO,2023,41.09072,49,7.909278869628906
I. Thomas,IND,2002,50.330307,48,-2.3303070068359375
I. Thomas,IND,2001,34.24743,42,7.752571105957031
I. Thomas,IND,2000,40.371353,41,0.6286468505859375
I. Thomas,NYK,2007,43.540012,23,-20.54001235961914
I. Thomas,NYK,2006,31.465807,33,1.5341930389404297
L. Bird,IND,1997,58.606266,58,-0.6062660217285156
M. Dunleavy,LAC,2009,25.462431,29,3.537569046020508
M. Dunleavy,LAC,2008,29.808205,19,-10.808204650878906
M. Dunleavy,LAC,2007,23.178072,23,-0.1780719757080078
M. Dunleavy,LAC,2006,39.583035,40,0.4169654846191406
M. Dunleavy,LAC,2005,47.639923,47,-0.639923095703125
M. Dunleavy,LAC,2004,36.67322,37,0.3267784118652344
M. Dunleavy,LAC,2003,29.394802,28,-1.3948020935058594
M. Dunleavy,POR,2000,51.1577,50,-1.1576995849609375
M. Dunleavy,POR,1997,46.60107,46,-0.6010704040527344
A. Gentry,LAC,2002,49.566727,27,-22.566726684570312
A. Gentry,LAC,2001,40.79261,39,-1.7926101684570312
A. Gentry,LAC,2000,22.190027,31,8.809972763061523
A. Gentry,NOH,2019,28.615963,30,1.3840370178222656
A. Gentry,NOH,2018,44.664883,33,-11.66488265991211
A. Gentry,NOH,2017,46.463223,48,1.5367774963378906
A. Gentry,NOH,2016,37.306213,34,-3.30621337890625
A. Gentry,NOH,2015,29.10187,30,0.8981304168701172
A. Gentry,PHO,2012,22.125595,25,2.8744049072265625
A. Gentry,PHO,2011,43.69688,33,-10.696880340576172
A. Gentry,PHO,2010,42.80166,40,-2.8016586303710938
A. Gentry,PHO,2009,39.110317,54,14.88968276977539
B. Fitch,LAC,1997,19.997887,17,-2.9978866577148438
D. Ham,LAL,2023,49.783916,47,-2.783916473388672
D. Ham,LAL,2022,39.65764,43,3.3423614501953125
L. Walton,LAL,2018,39.975082,37,-2.9750823974609375
L. Walton,LAL,2017,36.01678,35,-1.0167808532714844
L. Walton,LAL,2016,22.635231,26,3.3647689819335938
L. Walton,SAC,2021,30.5732,30,-0.5732002258300781
L. Walton,SAC,2020,33.034367,31,-2.0343666076660156
L. Walton,SAC,2019,33.172802,31,-2.172801971435547
D. Harris,LAL,1997,61.07145,61,-0.07144927978515625
D. Harris,LAL,1996,50.890755,56,5.109245300292969
T. Jenkins,MEM,2023,26.660282,27,0.3397178649902344
T. Jenkins,MEM,2022,27.769869,51,23.230131149291992
T. Jenkins,MEM,2021,55.198174,56,0.8018264770507812
T. Jenkins,MEM,2020,37.606968,38,0.3930320739746094
T. Jenkins,MEM,2019,34.762558,34,-0.7625579833984375
D. Fizdale,MEM,2017,29.955,22,-7.954999923706055
D. Fizdale,MEM,2016,43.46817,43,-0.468170166015625
D. Fizdale,NYK,2019,22.992674,21,-1.9926738739013672
D. Fizdale,NYK,2018,17.267992,17,-0.2679920196533203
D. Joerger,MEM,2015,43.101517,42,-1.1015167236328125
D. Joerger,MEM,2014,53.59392,55,1.4060783386230469
D. Joerger,MEM,2013,48.219753,50,1.7802467346191406
D. Joerger,SAC,2018,28.690207,39,10.309793472290039
D. Joerger,SAC,2017,30.548096,27,-3.548095703125
D. Joerger,SAC,2016,31.5555,32,0.4444999694824219
L. Hollins,MEM,2012,53.74012,56,2.2598800659179688
L. Hollins,MEM,2011,41.40122,41,-0.4012184143066406
L. Hollins,MEM,2010,47.437935,46,-1.4379348754882812
L. Hollins,MEM,2009,30.039871,40,9.960128784179688
L. Hollins,NJN,2015,28.61045,21,-7.610450744628906
L. Hollins,NJN,2014,37.190617,38,0.8093833923339844
M. Iavaroni,MEM,2008,21.51482,24,2.485179901123047
M. Iavaroni,MEM,2007,23.427095,22,-1.4270954132080078
H. Brown,MEM,2004,50.751614,45,-5.751613616943359
H. Brown,MEM,2003,51.716293,50,-1.7162933349609375
S. Lowe,MEM,2002,25.85135,28,2.148649215698242
S. Lowe,MEM,2001,21.037172,23,1.9628276824951172
S. Lowe,MEM,2000,20.70301,23,2.2969894409179688
B. Hill,MEM,1997,16.989792,19,2.0102081298828125
B. Hill,OKC,2006,43.07505,31,-12.075050354003906
B. Hill,ORL,2006,41.699238,40,-1.6992378234863281
B. Hill,ORL,2005,34.3878,36,1.6122016906738281
E. Spoelstra,MIA,2023,43.440327,46,2.559673309326172
E. Spoelstra,MIA,2022,39.850155,44,4.149845123291016
E. Spoelstra,MIA,2021,53.074688,53,-0.07468795776367188
E. Spoelstra,MIA,2020,52.421116,40,-12.42111587524414
E. Spoelstra,MIA,2019,39.33546,44,4.664539337158203
E. Spoelstra,MIA,2018,41.01814,39,-2.018138885498047
E. Spoelstra,MIA,2017,28.35393,44,15.64607048034668
E. Spoelstra,MIA,2016,41.151093,41,-0.151092529296875
E. Spoelstra,MIA,2015,44.472916,48,3.5270843505859375
E. Spoelstra,MIA,2014,36.90512,37,0.094879150390625
E. Spoelstra,MIA,2013,50.64218,54,3.357818603515625
E. Spoelstra,MIA,2012,65.6946,66,0.30539703369140625
E. Spoelstra,MIA,2011,45.425426,46,0.5745735168457031
E. Spoelstra,MIA,2010,65.082306,58,-7.082305908203125
E. Spoelstra,MIA,2009,31.592583,47,15.407417297363281
E. Spoelstra,MIA,2008,43.13187,43,-0.13187026977539062
P. Riley,MIA,2007,14.787252,15,0.21274757385253906
P. Riley,MIA,2006,48.06869,44,-4.068691253662109
P. Riley,MIA,2002,24.877071,25,0.12292861938476562
P. Riley,MIA,2001,34.58592,36,1.4140815734863281
P. Riley,MIA,2000,55.766605,50,-5.766605377197266
P. Riley,MIA,1997,55.9643,55,-0.9642982482910156
A. Griffin,MIL,2023,42.136105,49,6.863895416259766
L. Krystkowiak,MIL,2007,27.43617,26,-1.4361705780029297
T. Porter,MIL,2004,33.100616,30,-3.100616455078125
T. Porter,MIL,2003,41.49381,41,-0.4938087463378906
T. Porter,PHO,2008,35.9524,46,10.047599792480469
C. Ford,MIL,1997,30.39641,36,5.60359001159668
C. Finch,MIN,2023,41.561142,56,14.438858032226562
C. Finch,MIN,2022,41.77683,42,0.22317123413085938
C. Finch,MIN,2021,41.143784,46,4.8562164306640625
R. Saunders,MIN,2020,23.198267,23,-0.19826698303222656
R. Saunders,MIN,2019,17.166136,19,1.8338642120361328
S. Mitchell,MIN,2015,26.968866,29,2.0311336517333984
S. Mitchell,TOR,2008,32.139687,33,0.8603134155273438
S. Mitchell,TOR,2007,40.4171,41,0.5829010009765625
S. Mitchell,TOR,2006,43.667454,47,3.3325462341308594
S. Mitchell,TOR,2005,30.61358,27,-3.6135807037353516
S. Mitchell,TOR,2004,30.432848,33,2.5671520233154297
K. Rambis,MIN,2010,16.220982,17,0.7790184020996094
K. Rambis,MIN,2009,12.748384,15,2.251615524291992
J. Vaughn,NJN,2023,31.06638,32,0.9336204528808594
J. Vaughn,ORL,2014,32.7376,25,-7.737598419189453
J. Vaughn,ORL,2013,43.80858,23,-20.808578491210938
J. Vaughn,ORL,2012,30.143305,20,-10.143304824829102
S. Nash,NJN,2022,39.131237,45,5.868762969970703
S. Nash,NJN,2021,55.971317,44,-11.971317291259766
S. Nash,NJN,2020,40.913113,48,7.086887359619141
K. Atkinson,NJN,2019,36.599255,35,-1.5992546081542969
K. Atkinson,NJN,2018,41.88029,42,0.11970901489257812
K. Atkinson,NJN,2017,27.446106,28,0.55389404296875
K. Atkinson,NJN,2016,19.313488,20,0.6865119934082031
J. Calipari,NJN,1997,38.60195,43,4.398048400878906
J. Calipari,NJN,1996,24.936539,26,1.0634613037109375
W. Green,NOH,2023,44.39694,49,4.603061676025391
W. Green,NOH,2022,40.33811,42,1.6618881225585938
W. Green,NOH,2021,34.899563,36,1.1004371643066406
J. Hornacek,NYK,2017,27.075583,29,1.924417495727539
J. Hornacek,NYK,2016,31.606924,31,-0.6069240570068359
J. Hornacek,PHO,2015,36.986553,23,-13.986553192138672
J. Hornacek,PHO,2014,39.552044,39,-0.5520439147949219
J. Hornacek,PHO,2013,43.870037,48,4.129962921142578
D. Fisher,NYK,2015,24.32075,32,7.679250717163086
D. Fisher,NYK,2014,36.323204,17,-19.323204040527344
D. Chaney,NYK,2003,40.919643,39,-1.9196434020996094
D. Chaney,NYK,2002,22.299623,37,14.700376510620117
M. Daigneault,OKC,2023,62.02442,57,-5.024421691894531
M. Daigneault,OKC,2022,36.18432,40,3.8156814575195312
M. Daigneault,OKC,2021,22.473938,24,1.52606201171875
M. Daigneault,OKC,2020,28.069597,22,-6.069597244262695
S. Brooks,OKC,2014,41.968372,45,3.031627655029297
S. Brooks,OKC,2013,57.813942,59,1.1860580444335938
S. Brooks,OKC,2012,59.913834,60,0.0861663818359375
S. Brooks,OKC,2011,45.567303,47,1.4326972961425781
S. Brooks,OKC,2010,53.48818,55,1.5118217468261719
S. Brooks,OKC,2009,29.327604,50,20.672395706176758
S. Brooks,WAS,2020,31.01556,34,2.9844398498535156
S. Brooks,WAS,2019,27.526205,25,-2.526205062866211
S. Brooks,WAS,2018,31.726751,32,0.27324867248535156
S. Brooks,WAS,2017,43.556656,43,-0.5566558837890625
S. Brooks,WAS,2016,49.165546,49,-0.16554641723632812
B. Weiss,OKC,2005,34.63965,35,0.3603515625
P. Westphal,OKC,2000,44.827374,44,-0.8273735046386719
P. Westphal,SAC,2011,20.612942,22,1.3870582580566406
P. Westphal,SAC,2010,23.409372,24,0.5906276702880859
P. Westphal,SAC,2009,21.930908,25,3.069091796875
J. Mosley,ORL,2023,49.281975,47,-2.2819747924804688
J. Mosley,ORL,2022,31.442987,34,2.5570125579833984
J. Mosley,ORL,2021,19.210815,22,2.7891845703125
J. Davis,ORL,2004,30.44656,36,5.553440093994141
J. Davis,PHI,1996,19.368967,22,2.631032943725586
C. Daly,ORL,1997,40.375607,41,0.6243934631347656
N. Nurse,PHI,2023,45.819004,47,1.1809959411621094
N. Nurse,TOR,2022,42.40809,41,-1.4080886840820312
N. Nurse,TOR,2021,30.187775,48,17.812225341796875
N. Nurse,TOR,2020,28.847763,27,-1.8477630615234375
N. Nurse,TOR,2019,50.683308,53,2.316692352294922
N. Nurse,TOR,2018,51.148533,58,6.851467132568359
B. Brown,PHI,2019,43.659805,43,-0.6598052978515625
B. Brown,PHI,2018,53.209217,51,-2.209217071533203
B. Brown,PHI,2017,52.308334,52,-0.3083343505859375
B. Brown,PHI,2016,28.471115,28,-0.4711151123046875
B. Brown,PHI,2015,30.714893,10,-20.714893341064453
B. Brown,PHI,2014,36.174603,18,-18.174602508544922
B. Brown,PHI,2013,28.656403,19,-9.656402587890625
E. Jordan,PHI,2009,27.532928,27,-0.532928466796875
E. Jordan,SAC,1997,25.462904,27,1.5370960235595703
E. Jordan,WAS,2008,40.518753,19,-21.518753051757812
E. Jordan,WAS,2007,40.41516,43,2.5848388671875
E. Jordan,WAS,2006,33.184128,41,7.8158721923828125
E. Jordan,WAS,2005,40.737186,42,1.2628135681152344
E. Jordan,WAS,2004,43.281544,45,1.7184562683105469
E. Jordan,WAS,2003,37.58947,25,-12.589469909667969
R. Ayers,PHI,2003,33.82674,33,-0.8267402648925781
I. Kokoskov,PHO,2018,19.271935,19,-0.27193450927734375
E. Watson,PHO,2017,22.772083,21,-1.7720832824707031
E. Watson,PHO,2016,22.494816,24,1.5051841735839844
F. Johnson,PHO,2003,29.45059,29,-0.4505901336669922
F. Johnson,PHO,2002,44.274567,44,-0.274566650390625
D. Ainge,PHO,1997,56.73343,56,-0.733428955078125
C. Billups,POR,2023,34.875374,21,-13.875373840332031
C. Billups,POR,2022,30.482138,33,2.517862319946289
C. Billups,POR,2021,50.354183,27,-23.354183197021484
R. Theus,SAC,2008,18.396935,17,-1.3969345092773438
R. Theus,SAC,2007,30.995903,38,7.004096984863281
G. Popovich,SAS,2023,23.30744,22,-1.3074398040771484
G. Popovich,SAS,2022,18.829933,22,3.1700668334960938
G. Popovich,SAS,2021,31.044193,34,2.9558067321777344
G. Popovich,SAS,2020,33.47077,33,-0.47077178955078125
G. Popovich,SAS,2019,45.885147,32,-13.885147094726562
G. Popovich,SAS,2018,45.190186,48,2.809814453125
G. Popovich,SAS,2017,43.17694,47,3.82305908203125
G. Popovich,SAS,2016,57.85722,61,3.142780303955078
G. Popovich,SAS,2015,63.509514,67,3.4904861450195312
G. Popovich,SAS,2014,58.120792,55,-3.1207923889160156
G. Popovich,SAS,2013,60.72608,62,1.2739181518554688
G. Popovich,SAS,2012,55.979042,58,2.0209579467773438
G. Popovich,SAS,2011,51.724457,50,-1.724456787109375
G. Popovich,SAS,2010,59.21781,61,1.7821884155273438
G. Popovich,SAS,2009,51.050537,50,-1.050537109375
G. Popovich,SAS,2008,54.662334,54,-0.6623344421386719
G. Popovich,SAS,2007,57.210968,56,-1.210968017578125
G. Popovich,SAS,2006,57.255424,58,0.7445755004882812
G. Popovich,SAS,2005,59.602875,63,3.397125244140625
G. Popovich,SAS,2004,57.20306,59,1.7969398498535156
G. Popovich,SAS,2003,58.833866,57,-1.8338661193847656
G. Popovich,SAS,2002,64.4821,60,-4.4821014404296875
G. Popovich,SAS,2001,62.24314,58,-4.243141174316406
G. Popovich,SAS,2000,59.57418,58,-1.5741806030273438
G. Popovich,SAS,1997,55.03776,56,0.9622383117675781
D. Rajakovic,TOR,2023,28.70633,25,-3.706329345703125
J. Triano,TOR,2010,21.20497,22,0.7950305938720703
J. Triano,TOR,2009,39.37509,40,0.624908447265625
K. O'Neill,TOR,2003,28.578114,33,4.421886444091797
D. Walker,TOR,1997,15.004971,16,0.9950294494628906
W. Hardy,UTA,2023,34.624176,31,-3.624176025390625
W. Hardy,UTA,2022,35.575348,37,1.424652099609375
T. Corbin,UTA,2013,25.138239,25,-0.13823890686035156
T. Corbin,UTA,2012,43.5814,43,-0.5814018249511719
T. Corbin,UTA,2011,31.45826,36,4.541740417480469
J. Sloan,UTA,2010,41.32555,39,-2.325550079345703
J. Sloan,UTA,2009,52.896095,53,0.10390472412109375
J. Sloan,UTA,2008,50.810062,48,-2.8100624084472656
J. Sloan,UTA,2007,44.472565,54,9.527435302734375
J. Sloan,UTA,2006,43.024635,51,7.975364685058594
J. Sloan,UTA,2005,41.626785,41,-0.6267852783203125
J. Sloan,UTA,2004,25.893038,26,0.10696220397949219
J. Sloan,UTA,2003,44.033512,42,-2.0335121154785156
J. Sloan,UTA,2002,50.37773,47,-3.3777313232421875
J. Sloan,UTA,2001,46.65569,44,-2.655689239501953
J. Sloan,UTA,2000,53.93007,53,-0.9300689697265625
J. Sloan,UTA,1997,61.662865,62,0.33713531494140625
W. Unseld,WAS,2023,13.998434,15,1.001565933227539
W. Unseld,WAS,2022,34.49904,35,0.5009613037109375
W. Unseld,WAS,2021,29.723972,35,5.276027679443359
L. Hamilton,WAS,2000,23.12836,19,-4.128360748291016
